fatal: bad revision 'HEAD'
开始获取 BTC/USDT 数据，从 2023-01-01 到 2024-11-08
已获取 1000 条数据... 当前时间: 2023-01-01 16:39:00.001000
已获取 2000 条数据... 当前时间: 2023-01-02 09:19:00.001000
已获取 3000 条数据... 当前时间: 2023-01-03 01:59:00.001000
已获取 4000 条数据... 当前时间: 2023-01-03 18:39:00.001000
已获取 5000 条数据... 当前时间: 2023-01-04 11:19:00.001000
已获取 6000 条数据... 当前时间: 2023-01-05 03:59:00.001000
已获取 7000 条数据... 当前时间: 2023-01-05 20:39:00.001000
已获取 8000 条数据... 当前时间: 2023-01-06 13:19:00.001000
已获取 9000 条数据... 当前时间: 2023-01-07 05:59:00.001000
已获取 10000 条数据... 当前时间: 2023-01-07 22:39:00.001000
已获取 11000 条数据... 当前时间: 2023-01-08 15:19:00.001000
已获取 12000 条数据... 当前时间: 2023-01-09 07:59:00.001000
已获取 13000 条数据... 当前时间: 2023-01-10 00:39:00.001000
已获取 14000 条数据... 当前时间: 2023-01-10 17:19:00.001000
已获取 15000 条数据... 当前时间: 2023-01-11 09:59:00.001000
已获取 16000 条数据... 当前时间: 2023-01-12 02:39:00.001000
已获取 17000 条数据... 当前时间: 2023-01-12 19:19:00.001000
已获取 18000 条数据... 当前时间: 2023-01-13 11:59:00.001000
已获取 19000 条数据... 当前时间: 2023-01-14 04:39:00.001000
已获取 20000 条数据... 当前时间: 2023-01-14 21:19:00.001000
已获取 21000 条数据... 当前时间: 2023-01-15 13:59:00.001000
已获取 22000 条数据... 当前时间: 2023-01-16 06:39:00.001000
已获取 23000 条数据... 当前时间: 2023-01-16 23:19:00.001000
已获取 24000 条数据... 当前时间: 2023-01-17 15:59:00.001000
已获取 25000 条数据... 当前时间: 2023-01-18 08:39:00.001000
已获取 26000 条数据... 当前时间: 2023-01-19 01:19:00.001000
已获取 27000 条数据... 当前时间: 2023-01-19 17:59:00.001000
已获取 28000 条数据... 当前时间: 2023-01-20 10:39:00.001000
已获取 29000 条数据... 当前时间: 2023-01-21 03:19:00.001000
已获取 30000 条数据... 当前时间: 2023-01-21 19:59:00.001000
已获取 31000 条数据... 当前时间: 2023-01-22 12:39:00.001000
已获取 32000 条数据... 当前时间: 2023-01-23 05:19:00.001000
已获取 33000 条数据... 当前时间: 2023-01-23 21:59:00.001000
已获取 34000 条数据... 当前时间: 2023-01-24 14:39:00.001000
已获取 35000 条数据... 当前时间: 2023-01-25 07:19:00.001000
已获取 36000 条数据... 当前时间: 2023-01-25 23:59:00.001000
已获取 37000 条数据... 当前时间: 2023-01-26 16:39:00.001000
已获取 38000 条数据... 当前时间: 2023-01-27 09:19:00.001000
已获取 39000 条数据... 当前时间: 2023-01-28 01:59:00.001000
已获取 40000 条数据... 当前时间: 2023-01-28 18:39:00.001000
已获取 41000 条数据... 当前时间: 2023-01-29 11:19:00.001000
已获取 42000 条数据... 当前时间: 2023-01-30 03:59:00.001000
已获取 43000 条数据... 当前时间: 2023-01-30 20:39:00.001000
已获取 44000 条数据... 当前时间: 2023-01-31 13:19:00.001000
已获取 45000 条数据... 当前时间: 2023-02-01 05:59:00.001000
已获取 46000 条数据... 当前时间: 2023-02-01 22:39:00.001000
已获取 47000 条数据... 当前时间: 2023-02-02 15:19:00.001000
已获取 48000 条数据... 当前时间: 2023-02-03 07:59:00.001000
已获取 49000 条数据... 当前时间: 2023-02-04 00:39:00.001000
已获取 50000 条数据... 当前时间: 2023-02-04 17:19:00.001000
已获取 51000 条数据... 当前时间: 2023-02-05 09:59:00.001000
已获取 52000 条数据... 当前时间: 2023-02-06 02:39:00.001000
已获取 53000 条数据... 当前时间: 2023-02-06 19:19:00.001000
已获取 54000 条数据... 当前时间: 2023-02-07 11:59:00.001000
已获取 55000 条数据... 当前时间: 2023-02-08 04:39:00.001000
已获取 56000 条数据... 当前时间: 2023-02-08 21:19:00.001000
已获取 57000 条数据... 当前时间: 2023-02-09 13:59:00.001000
已获取 58000 条数据... 当前时间: 2023-02-10 06:39:00.001000
已获取 59000 条数据... 当前时间: 2023-02-10 23:19:00.001000
已获取 60000 条数据... 当前时间: 2023-02-11 15:59:00.001000
已获取 61000 条数据... 当前时间: 2023-02-12 08:39:00.001000
已获取 62000 条数据... 当前时间: 2023-02-13 01:19:00.001000
已获取 63000 条数据... 当前时间: 2023-02-13 17:59:00.001000
已获取 64000 条数据... 当前时间: 2023-02-14 10:39:00.001000
已获取 65000 条数据... 当前时间: 2023-02-15 03:19:00.001000
已获取 66000 条数据... 当前时间: 2023-02-15 19:59:00.001000
已获取 67000 条数据... 当前时间: 2023-02-16 12:39:00.001000
已获取 68000 条数据... 当前时间: 2023-02-17 05:19:00.001000
已获取 69000 条数据... 当前时间: 2023-02-17 21:59:00.001000
已获取 70000 条数据... 当前时间: 2023-02-18 14:39:00.001000
已获取 71000 条数据... 当前时间: 2023-02-19 07:19:00.001000
已获取 72000 条数据... 当前时间: 2023-02-19 23:59:00.001000
已获取 73000 条数据... 当前时间: 2023-02-20 16:39:00.001000
已获取 74000 条数据... 当前时间: 2023-02-21 09:19:00.001000
已获取 75000 条数据... 当前时间: 2023-02-22 01:59:00.001000
已获取 76000 条数据... 当前时间: 2023-02-22 18:39:00.001000
已获取 77000 条数据... 当前时间: 2023-02-23 11:19:00.001000
已获取 78000 条数据... 当前时间: 2023-02-24 03:59:00.001000
已获取 79000 条数据... 当前时间: 2023-02-24 20:39:00.001000
已获取 80000 条数据... 当前时间: 2023-02-25 13:19:00.001000
已获取 81000 条数据... 当前时间: 2023-02-26 05:59:00.001000
已获取 82000 条数据... 当前时间: 2023-02-26 22:39:00.001000
已获取 83000 条数据... 当前时间: 2023-02-27 15:19:00.001000
已获取 84000 条数据... 当前时间: 2023-02-28 07:59:00.001000
已获取 85000 条数据... 当前时间: 2023-03-01 00:39:00.001000
已获取 86000 条数据... 当前时间: 2023-03-01 17:19:00.001000
已获取 87000 条数据... 当前时间: 2023-03-02 09:59:00.001000
已获取 88000 条数据... 当前时间: 2023-03-03 02:39:00.001000
已获取 89000 条数据... 当前时间: 2023-03-03 19:19:00.001000
已获取 90000 条数据... 当前时间: 2023-03-04 11:59:00.001000
已获取 91000 条数据... 当前时间: 2023-03-05 04:39:00.001000
已获取 92000 条数据... 当前时间: 2023-03-05 21:19:00.001000
已获取 93000 条数据... 当前时间: 2023-03-06 13:59:00.001000
已获取 94000 条数据... 当前时间: 2023-03-07 06:39:00.001000
已获取 95000 条数据... 当前时间: 2023-03-07 23:19:00.001000
已获取 96000 条数据... 当前时间: 2023-03-08 15:59:00.001000
已获取 97000 条数据... 当前时间: 2023-03-09 08:39:00.001000
已获取 98000 条数据... 当前时间: 2023-03-10 01:19:00.001000
已获取 99000 条数据... 当前时间: 2023-03-10 17:59:00.001000
已获取 100000 条数据... 当前时间: 2023-03-11 10:39:00.001000
已获取 101000 条数据... 当前时间: 2023-03-12 03:19:00.001000
已获取 102000 条数据... 当前时间: 2023-03-12 19:59:00.001000
已获取 103000 条数据... 当前时间: 2023-03-13 12:39:00.001000
已获取 104000 条数据... 当前时间: 2023-03-14 05:19:00.001000
已获取 105000 条数据... 当前时间: 2023-03-14 21:59:00.001000
已获取 106000 条数据... 当前时间: 2023-03-15 14:39:00.001000
已获取 107000 条数据... 当前时间: 2023-03-16 07:19:00.001000
已获取 108000 条数据... 当前时间: 2023-03-16 23:59:00.001000
已获取 109000 条数据... 当前时间: 2023-03-17 16:39:00.001000
已获取 110000 条数据... 当前时间: 2023-03-18 09:19:00.001000
